Filename, Time(us)
spaceShuttleEntry_3, 15.554
lp_afiro, 0.06
IG5-11, 11.638
complex, 25.71
rw496, 0.922
rdb450, 1.272
mk12-b5, 29.956
email-Eu-core, 14.151
air04, 42.365
rw5151, 10.075
TF12, 2.384
Ecoli_10NN, 2.364
c-40, 51.578
lp_stocfor3, 37.928
bcsstm13, 12.73
Spectro_10NN, 3.826
n4c5-b3, 2.604
adder_dcop_03, 7.672
lp_ken_11, 25.559
IG5-12, 24.297
orbitRaising_3, 3.465
oscil_dcop_12, 0.841
wang1, 9.274
IG5-18, 1099.35
ex28, 40.201
rajat05, 0.741
cr42, 3.175
lock3491, 86.102
extr1, 5.739
model1, 1.693
scfxm1-2r, 121.756
shuttle_eddy, 58.299
lp_maros_r7, 72.551
spaceStation_7, 9.725
fpga_dcop_51, 3.035
fpga_dcop_42, 3.045
wheel_7_1, 0.19
S20PI_n1, 1.272
mesh3em5, 1.131
crack, 32.069
bcspwr07, 4.837
fpga_dcop_46, 3.045
n4c5-b1, 0.12
psse1, 29.546
adder_dcop_63, 6.85
fpga_dcop_48, 3.045
lp_scagr7, 0.24
G51, 6.45
cavity09, 16.806
fpga_dcop_34, 3.045
3elt_dual, 14.202
